ID,Etiqueta
1,copiar en portapapeles
2,llamar a bd relacion
2,left join
3,gv
3,grid
4,getall
4,cargar datos sql
5,desactivar botones
5,activar botones
5,enable
5,disable
6,fecha excel
6,datatime excel
7,limpiar campo fecha
7,datetime.minvalue
8,limpiar combobox
8,limpiar cbo
9,obtener valor combobox
9,value cbo
10,agregar fechas a un pop
10,insertar dato fecha pop
10,( datetime )
11,uso de set
11,usar set
11,cambiar un solo dato
11,actualizar un solo dato
11,actualizar dato
12,exportar boleano
12,boleano en excel
12,campo boleano excel
13,poner fecha en el grid
13,formato fecha grid
13,fecha properties
14,eliminar nombres repetidos
14,datos repetidos eliminar
14,filtrar datos
15,datos nuevo combobox
15,dato diferente cbo
15,agregar datos al combobox
16,combobox
17,filtro de fecha en grid
17,filtrar dato por fechas
18,filtrar fechas sql
19,left join
20,validar campo fecha en javascript
20,validar campo fecha en js
20,campo fecha validate
21,filtrar fechas en callback
21,filtrar fechas en c #
22,teclado virtual js
22,funcion de teclado
23,diseno cacluladora aspx
23,caluladora virtual aspx
24,calculadora css
24,diseno y acomodo de la calculadora modelo virtual
25,poner el campo cbo en excel
25,campo cbo o combobox
26,obtener id de combobox
26,obtener el id de cbo en c #
27,guardar combobox de excel a sql
27,guardar cbo sql
27,obtener valor id cbo sql
28,combobox si y no
29,convertir 0 1 a si y no sql
30,poner combobox en plantilla
31,fecha inicial
31,fecha de hoy en espacio
32,poner grid en pop
32,tablas en pop
32,pop con tabla
33,bloquear dias futuros
33,no mostrar dias futuros
34,bloquear dias pasados
34,no mostrar dias pasados
35,validar archivos
35,validar al subir archivos
35,"validacion .jpg , .jpeg , .jpe , .png , .xlsx , .pdf , .docx"
35,validar tamano de archivo 10000000
36,caracteres permitidos
36,validationexpression
36,solo permite
37,function numeric
37,"( s , e )"
37,funcion solo numeros
37,validar solo numeros en text o txt
38,aspxspinedit
38,maximo o minimo valor
38,control de valores text
39,validar numero de telefono
39,mascara telefono o telefonica
40,obtner fecha
40,datos fecha todate
41,checkbox para pops
42,chaechbox llenar
42,datos checkbox
43,aplicar checkcolumn en el grid
43,columna check
43,check en tabla
44,icono actualizar
44,actualizar
44,icon
44,menu imagen actualizar
45,spriteundo
45,icono salir
45,exit icon
45,icono para salir
46,seleccionar texto del cbo
46,combobox select text
46,no value
46,no id cbo
47,sumas y restas
47,red neuronal densa sumas y restas
47,numeros aleatorios para red neuronal
47,entrenamiento de red neuronal
47,desnse
47,sequensial
48,seleccionar datos del grid
48,gid seleccionar
48,seleccionar id
48,int id
48,getrowvalues
48,seleccionar un dato del grid en c
49,autopostback
49,recargar pagina aspx
49,recargar varias veces aspx
49,cargar pagina varias veces
49,recargar true
50,no duplicar
50,dato no duplicado
50,cbkclave
50,cbk no duplicado
50,duplicar
50,dato repetido
50,no repetir datos en el grid
51,ejecutar funcion en un txt
51,funcion en label
51,ejecutar funcion keyup
51,funcion en un txt
51,lostfocus
51,onlostfocususuario
52,function onlostfocus
52,funciononlostfocus
52,focus
52,funcion focus
52,funcion de validacion para objetos clave texto repetidos
53,function onendusuario
53,funcion despues de focus
53,funcion de validacion despues del focus
53,"mostrar mensaje de clave , texto , objeto repetido"
54,cbk
54,cbk preform callback
54,cbk dato repetido
54,cbk para activar informacion
55,generar xml
55,obtener datos de un grid
55,obtener varios registros de un grid
55,seleccionar registros
55,varios registros grid
55,guardar varios registros en c
56,recorrer el xml de los datos seleccionados
56,obtener los id del xml
57,sql que me dio julio
57,sql de ayer
57,sql de uspermisosusuarios uspermisosperfiles
57,sql de apoyo
58,log bitacora
58,registrar el movimiento
58,aginsertlog
58,guardar movimiento en sql
58,log en c
58,insertar log
59,"tablas union , tablas juntas , ultimo grid de ayer"
60,radiobutton para grid
60,setting abajo del columns
60,poner un radi buton en grid
60,radio
60,button
60,bejaibor
60,behavior
60,convertir un check a un radio
60,que solo se puedan elejir un registro del grid
60,elejir y mostrar un registro de un grid
61,alinear a la izquierda grid
61,poner a la izquierda los nombres
61,poner izquierda los campos del grid
61,poner a la izquierda una columna
61,aling left
62,que no se mueva el pop por el grid
62,scroll grid
62,grid mas grande
62,poner scroll en el grid
62,que no se mueve el pop con 2 grid
62,agrandar grid sin que se mueva el pop
62,poner un scroll bar en el grid o en un pop
62,setting scroll tamanio
63,for en sql
63,insertar varios datos en un insert sql
63,poner varios datos en un insert
63,poner un select en un insert
63,poner los datos de una tabla en un insert
63,poner varios registros de otra tabla en sql
64,icono salir
64,figura salir
64,imagen de salir
64,poner icono de salir
